trinID,neglogpval
TRINITY_DN12420_c0_g1_TRINITY_DN12420_c0_g1_i1_g.1082_m.1082,0.714179425
TRINITY_DN12427_c0_g1_TRINITY_DN12427_c0_g1_i1_g.1083_m.1083,0.280881029
TRINITY_DN12435_c0_g1_TRINITY_DN12435_c0_g1_i1_g.1085_m.1085,0.461188141
TRINITY_DN12447_c0_g1_TRINITY_DN12447_c0_g1_i1_g.1086_m.1086,0.056588887
TRINITY_DN12507_c0_g1_TRINITY_DN12507_c0_g1_i1_g.1087_m.1087,0.639984304
TRINITY_DN12512_c0_g1_TRINITY_DN12512_c0_g1_i1_g.1088_m.1088,0.741631085
TRINITY_DN12512_c0_g2_TRINITY_DN12512_c0_g2_i1_g.1089_m.1089,0.147798029
TRINITY_DN12516_c0_g1_TRINITY_DN12516_c0_g1_i1_g.1090_m.1090,0.090705991
TRINITY_DN12526_c0_g1_TRINITY_DN12526_c0_g1_i1_g.1091_m.1091,0.611533011
TRINITY_DN12533_c0_g1_TRINITY_DN12533_c0_g1_i1_g.1092_m.1092,0.437614423
TRINITY_DN12550_c0_g1_TRINITY_DN12550_c0_g1_i1_g.1093_m.1093,0.550866981
TRINITY_DN12552_c0_g1_TRINITY_DN12552_c0_g1_i1_g.1094_m.1094,0.172525549
TRINITY_DN12555_c0_g1_TRINITY_DN12555_c0_g1_i1_g.1095_m.1095,0.610205594
TRINITY_DN1256_c0_g2_TRINITY_DN1256_c0_g2_i1_g.119_m.119,1.06630725
TRINITY_DN12567_c0_g1_TRINITY_DN12567_c0_g1_i1_g.1096_m.1096,1.102413306
TRINITY_DN12571_c0_g1_TRINITY_DN12571_c0_g1_i1_g.1097_m.1097,0.2436709
TRINITY_DN12606_c0_g1_TRINITY_DN12606_c0_g1_i1_g.1098_m.1098,0.809487386
TRINITY_DN12620_c0_g1_TRINITY_DN12620_c0_g1_i1_g.1099_m.1099,0.964241229
TRINITY_DN12628_c0_g1_TRINITY_DN12628_c0_g1_i1_g.1100_m.1100,0.011086624
TRINITY_DN12641_c0_g2_TRINITY_DN12641_c0_g2_i1_g.1101_m.1101,0.323509203
